iata,name,city,country,region,lat,lon,size
HUS,Hughes Airport,Hughes,US,US-AK,66.04109955,-154.2630005,small
HUU,Alferez Fap David Figueroa Fernandini Airport,Huánuco,PE,PE-HUC,-9.878809928894043,-76.20480346679688,medium
HUX,Bahías de Huatulco International Airport,Huatulco,MX,MX-OAX,15.775437,-96.260456,large
HUY,Humberside Airport,"Grimsby, Lincolnshire",GB,GB-ENG,53.576152,-0.34954,medium
HUZ,Huizhou Pingtan Airport,Huizhou (Pingtan),CN,CN-44,23.049999,114.599998,medium
HVB,Hervey Bay Airport,Hervey Bay,AU,AU-QLD,-25.320127,152.880662,medium
HVD,Khovd Airport,Khovd,MN,MN-043,47.954102,91.628197,medium
HVG,"Honningsvåg Airport, Valan",Honningsvåg,NO,NO-56,71.009697,25.983601,medium
HVN,Tweed New Haven Airport,New Haven,US,US-CT,41.262869,-72.887694,medium
HVR,Havre City County Airport,Havre,US,US-MT,48.541387,-109.762859,medium
HWR,Halwara International Airport,Halwara,IN,IN-PB,30.748501,75.629799,large
HXD,Haixi Delingha Airport,Delingha,CN,CN-63,37.125286,97.268658,medium
HYA,Cape Cod Gateway Airport,Hyannis,US,US-MA,41.6693,-70.280403,medium
HYD,Rajiv Gandhi International Airport,Hyderabad,IN,IN-TG,17.231318,78.429855,large
HYN,Taizhou Luqiao Airport,Taizhou (Luqiao),CN,CN-33,28.562201,121.429001,medium
HYS,Hays Regional Airport,Hays,US,US-KS,38.844521,-99.273148,medium
HZA,Heze Mudan Airport,Heze (Dingtao),CN,CN-37,35.212972,115.736748,medium
HZG,Hanzhong Chenggu Airport,Hanzhong (Chenggu),CN,CN-61,33.133527,107.203817,medium
HZH,Liping Airport,Liping,CN,CN-52,26.32217,109.1499,medium
IAA,Igarka Airport,Igarka,RU,RU-KYA,67.437202,86.621902,medium
IAD,Washington Dulles International Airport,Dulles,US,US-VA,38.9445,-77.455803,large
IAG,Niagara Falls International Airport,Niagara Falls,US,US-NY,43.1073,-78.946198,medium
IAH,George Bush Intercontinental Airport,Houston,US,US-TX,29.9844,-95.3414,large
IAM,Zarzaitine - In Aménas Airport,In Aménas,DZ,DZ-33,28.0515,9.64291,medium
IAN,Bob Baker Memorial Airport,Kiana,US,US-AK,66.976128,-160.439014,medium
IAO,Siargao Airport,Del Carmen,PH,PH-SUN,9.8591,126.014,small
IAR,Golden Ring Yaroslavl International Airport,Tunoshna,RU,RU-YAR,57.560699,40.157398,large
IAS,Iaşi International Airport,Iaşi,RO,RO-IS,47.179633,27.621431,large
IBA,Ibadan Airport,Ibadan,NG,NG-OY,7.362460136413574,3.97832989692688,medium
IBB,General Villamil Airport,Puerto Villamil,EC,EC-W,-0.942628,-90.953003,small
IBE,Perales Airport,Ibagué,CO,CO-TOL,4.42161,-75.1333,medium
IBR,Ibaraki Airport,Omitama,JP,JP-08,36.181456,140.414434,large
IBZ,Ibiza Airport,Ibiza (Eivissa),ES,ES-IB,38.872898,1.37312,large
ICC,Andrés Miguel Salazar Marcano Airport,Isla de Coche,VE,VE-O,10.794432,-63.98159,small
ICI,Cicia Airport,Cicia,FJ,FJ-E,-17.7432994843,-179.341995239,small
ICN,Incheon International Airport,Seoul,KR,KR-28,37.469101,126.450996,large
ICT,Wichita Dwight D. Eisenhower National Airport,Wichita,US,US-KS,37.650314,-97.428583,medium
IDA,Idaho Falls Regional Airport,Idaho Falls,US,US-ID,43.514599,-112.070999,medium
IDR,Devi Ahilya Bai Holkar International Airport,Indore,IN,IN-MP,22.721404,75.80051,large
IEG,Zielona Góra-Babimost Airport,Nowe Kramsko,PL,PL-LB,52.1385,15.7986,medium
IFJ,Ísafjörður Airport,Ísafjörður,IS,IS-4,66.058098,-23.1353,medium
IFN,Isfahan Shahid Beheshti International Airport,Isfahan,IR,IR-10,32.755142,51.883877,large
IFO,Ivano-Frankivsk International Airport,Ivano-Frankivsk,UA,UA-26,48.88420104980469,24.686100006103516,medium
